0,94,2024-10-05T12:01:03.000Z,104,160,0,1,"['#皮克斯幹話', '#皮克斯', '#pixar', '#心情語錄', '#愛情語錄', '#幹話語錄', '#幹話', '#語錄', '#梗圖', '#皮克斯梗圖', '#皮克斯語錄']",
1,31,2024-10-15T05:04:29.000Z,827,9,1,0,['#孫燕姿就在日落以後巡迴演唱會'],1 人、瀏海、美妝、戶外和文字的圖像.
2,331,2024-11-06T11:38:09.000Z,34,218,1,0,[],2 個人、辮子、美妝、紅心、保羅領帶、上衣、高領上衣和文字的圖像.
3,424,2024-11-02T15:21:23.000Z,29,108,1,0,"['#𝙗𝙩𝙨', '#𝙟𝙪𝙣𝙜𝙠𝙤𝙤𝙠', '#𝙫', '#𝙟𝙞𝙢𝙞𝙣', '#𝙟𝙞𝙣', '#𝙟𝙝𝙤𝙥𝙚', '#𝙨𝙪𝙜𝙖', '#𝙧𝙖𝙥𝙢𝙤𝙣𝙨𝙩𝙚𝙧']",2 個人、瀏海、上衣和文字的圖像.
4,29,2024-11-07T12:00:00.000Z,1,1,1,0,"['#MBTI', '#九型人格', '#性格分析', '#能量等級', '#自我探索', '#情緒管理', '#性格測試']",1 人、海報、填字遊戲和文字的圖像.
5,116,2024-10-18T11:05:43.000Z,14,28,0,1,"['#taiwan', '#newzealand', '#ball', '#couple', '#love']",
6,73,2024-11-01T10:14:33.000Z,16,19,0,1,"['#KARINA', '#AESPA', '#에스파', '#카리나']",
0,2,2024-10-14T13:56:33.000Z,6,22,0,1,"['#태연', '#TAEYEON', '#太妍', '#少女時代', '#소녀시대', '#snsd', '#girlsgeneration', '#써니', '#Sunny', '#티파니영', '#Tiffanyyoung', '#孝淵', '#효연', '#Hyoyeon', '#俞利', '#유리', '#Yuri', '#秀英', '#수영', '#Sooyoung', '#潤娥', '#윤아', '#Yoona', '#徐玄', '#서현', '#Seohyun']",
1,15,2024-10-07T15:42:24.000Z,5,2,0,1,"['#shuhua', '#g_i_dle', '#GIDLE', '#neverland']",
2,31,2024-10-15T05:04:29.000Z,827,9,1,0,['#孫燕姿就在日落以後巡迴演唱會'],1 人、瀏海、美妝、戶外和文字的圖像.
3,33,2024-11-03T12:46:38.000Z,6,43,1,0,[],1 人、衝浪板、潛水衣、海灘、海洋和文字的圖像.
4,68,2024-10-29T10:00:21.000Z,418,2,1,0,"['#塔羅占卜', '#塔羅占卜', '#占卜', '#星座', '#真心', '#love', '#戀愛', '#情侶', '#男朋友', '#愛', '#喜歡', '#星座愛情', '#星座分析', '#星座知識']",
5,773,2024-10-23T09:50:00.000Z,45,121,0,1,[],
6,89,2024-11-04T03:25:26.000Z,6,30,0,1,[],
7,6,2024-10-27T18:38:31.000Z,4,129,0,1,[],
8,5,2024-10-27T10:32:10.000Z,2,3,0,1,"['#mamamoo', '#mamamoomoonbyul', '#moonbyul', '#마마무', '#마마무문별', '#문별', '#moonstar', '#moonbyulyi']",
9,137,2024-10-16T01:11:24.000Z,35,475,1,0,"['#寫真', '#黑絲', '#水瓶座', '#御姐', '#魅力', '#美腿', '#cindychenyaxin']",1 人、毛髮、褲襪和胸罩的圖像.
0,9,2024-09-29T03:47:13.000Z,107,0,0,1,"['#單口喜劇', '#standup', '#喜劇', '#搞笑影片', '#翻譯迷因', '#翻譯服務', '#社群經營', '#translations', '#英文學習', '#語言學習', '#個人工作室', '#rebelwilson', '#jimmyfallon', '#pitchperfect', '#歌喉讚']",
1,174,2024-08-19T08:00:32.000Z,7,0,1,0,"['#大谷翔平', '#真美子さん', '#ロメロブリット', '#デコピン', '#女性自身']",一或多人和毛髮的圖像.
2,24,2024-10-15T07:09:25.000Z,3,0,0,1,[],
