iter	Passed	Remaining
544	31930	26657
545	31988	26598
546	32050	26542
547	32111	26485
548	32168	26426
549	32226	26367
550	32287	26310
551	32354	26258
552	32411	26199
553	32466	26137
554	32525	26078
555	32583	26020
556	32647	25965
557	32711	25911
558	32772	25854
559	32834	25798
560	32900	25745
561	32956	25684
562	33014	25625
563	33069	25564
564	33138	25513
565	33194	25452
566	33254	25395
567	33312	25335
568	33372	25278
569	33435	25223
570	33493	25164
571	33548	25102
572	33605	25042
573	33667	24986
574	33726	24928
575	33783	24868
576	33841	24809
577	33897	24749
578	33963	24695
579	34021	24636
580	34079	24577
581	34143	24522
582	34202	24464
583	34258	24403
584	34318	24345
585	34376	24286
586	34437	24229
587	34496	24171
588	34552	24110
589	34608	24050
590	34667	23991
591	34723	23931
592	34778	23869
593	34834	23809
594	34892	23750
595	34949	23690
596	35006	23630
597	35062	23570
598	35120	23511
599	35180	23453
600	35237	23393
601	35292	23333
602	35351	23274
603	35410	23216
604	35471	23159
605	35529	23100
606	35589	23042
607	35655	22988
608	35712	22928
609	35772	22871
610	35833	22813
611	35889	22753
612	35945	22693
613	36005	22635
614	36066	22578
615	36124	22519
616	36185	22461
617	36242	22402
618	36299	22342
619	36361	22286
620	36420	22227
621	36477	22168
622	36535	22109
623	36589	22047
624	36648	21988
625	36707	21930
626	36767	21872
627	36823	21812
628	36886	21756
629	36946	21698
630	37004	21639
631	37062	21580
632	37121	21522
633	37181	21464
634	37241	21406
635	37299	21347
636	37355	21287
637	37414	21228
638	37471	21169
639	37527	21109
640	37586	21050
641	37646	20993
642	37708	20936
643	37767	20877
644	37825	20818
645	37884	20760
646	37941	20700
647	37998	20641
648	38056	20582
649	38119	20525
650	38182	20469
651	38238	20409
652	38297	20351
653	38354	20291
654	38414	20233
655	38473	20175
656	38527	20114
657	38584	20054
658	38645	19996
659	38704	19938
660	38762	19879
661	38823	19822
662	38879	19762
663	38935	19702
664	38993	19643
665	39050	19583
666	39109	19525
667	39167	19466
668	39223	19406
669	39282	19348
670	39342	19289
671	39396	19229
672	39455	19170
673	39512	19111
674	39570	19052
